"Date","Parashah","Aliyah","Reading","Verses"
21-Sep-2026,"Yom Kippur","Haftara","Isaiah 57:14-58:14",22

21-Sep-2026,"Yom Kippur (Mincha)",1,"Leviticus 18:1-18:5",5
21-Sep-2026,"Yom Kippur (Mincha)",2,"Leviticus 18:6-18:21",16
21-Sep-2026,"Yom Kippur (Mincha)","maf","Leviticus 18:22-18:30",9
21-Sep-2026,"Yom Kippur (Mincha)","Haftara","Jonah 1:1-4:11; Micah 7:18-20",51

26-Sep-2026,"Sukkot I (on Shabbat)",1,"Leviticus 22:26-22:33",8
26-Sep-2026,"Sukkot I (on Shabbat)",2,"Leviticus 23:1-23:3",3
26-Sep-2026,"Sukkot I (on Shabbat)",3,"Leviticus 23:4-23:8",5
26-Sep-2026,"Sukkot I (on Shabbat)",4,"Leviticus 23:9-23:14",6
26-Sep-2026,"Sukkot I (on Shabbat)",5,"Leviticus 23:15-23:22",8
26-Sep-2026,"Sukkot I (on Shabbat)",6,"Leviticus 23:23-23:32",10
26-Sep-2026,"Sukkot I (on Shabbat)",7,"Leviticus 23:33-23:44",12
26-Sep-2026,"Sukkot I (on Shabbat)","maf","Numbers 29:12-29:16",5
26-Sep-2026,"Sukkot I (on Shabbat)","Haftara","Zechariah 14:1-21",21

27-Sep-2026,"Sukkot II",1,"Leviticus 22:26-23:3",11
27-Sep-2026,"Sukkot II",2,"Leviticus 23:4-23:14",11
27-Sep-2026,"Sukkot II",3,"Leviticus 23:15-23:22",8
27-Sep-2026,"Sukkot II",4,"Leviticus 23:23-23:32",10
27-Sep-2026,"Sukkot II",5,"Leviticus 23:33-23:44",12
27-Sep-2026,"Sukkot II","maf","Numbers 29:12-29:16",5
27-Sep-2026,"Sukkot II","Haftara","I Kings 8:2-21",20

28-Sep-2026,"Sukkot Chol ha-Moed Day 1",1,"Numbers 29:17-29:19",3
28-Sep-2026,"Sukkot Chol ha-Moed Day 1",2,"Numbers 29:20-29:22",3
28-Sep-2026,"Sukkot Chol ha-Moed Day 1",3,"Numbers 29:23-29:25",3
28-Sep-2026,"Sukkot Chol ha-Moed Day 1",4,"Numbers 29:17-29:22",6

29-Sep-2026,"Sukkot Chol ha-Moed Day 2",1,"Numbers 29:20-29:22",3
29-Sep-2026,"Sukkot Chol ha-Moed Day 2",2,"Numbers 29:23-29:25",3
29-Sep-2026,"Sukkot Chol ha-Moed Day 2",3,"Numbers 29:26-29:28",3
29-Sep-2026,"Sukkot Chol ha-Moed Day 2",4,"Numbers 29:20-29:25",6

30-Sep-2026,"Sukkot Chol ha-Moed Day 3",1,"Numbers 29:23-29:25",3
30-Sep-2026,"Sukkot Chol ha-Moed Day 3",2,"Numbers 29:26-29:28",3
30-Sep-2026,"Sukkot Chol ha-Moed Day 3",3,"Numbers 29:29-29:31",3
30-Sep-2026,"Sukkot Chol ha-Moed Day 3",4,"Numbers 29:23-29:28",6

01-Oct-2026,"Sukkot Chol ha-Moed Day 4",1,"Numbers 29:26-29:28",3
01-Oct-2026,"Sukkot Chol ha-Moed Day 4",2,"Numbers 29:29-29:31",3
01-Oct-2026,"Sukkot Chol ha-Moed Day 4",3,"Numbers 29:32-29:34",3
01-Oct-2026,"Sukkot Chol ha-Moed Day 4",4,"Numbers 29:26-29:31",6

02-Oct-2026,"Sukkot Final Day (Hoshana Raba)",1,"Numbers 29:26-29:28",3
02-Oct-2026,"Sukkot Final Day (Hoshana Raba)",2,"Numbers 29:29-29:31",3
02-Oct-2026,"Sukkot Final Day (Hoshana Raba)",3,"Numbers 29:32-29:34",3
02-Oct-2026,"Sukkot Final Day (Hoshana Raba)",4,"Numbers 29:29-29:34",6

03-Oct-2026,"Shmini Atzeret (on Shabbat)",1,"Deuteronomy 14:22-14:29",8
03-Oct-2026,"Shmini Atzeret (on Shabbat)",2,"Deuteronomy 15:1-15:18",18
03-Oct-2026,"Shmini Atzeret (on Shabbat)",3,"Deuteronomy 15:19-15:23",5
03-Oct-2026,"Shmini Atzeret (on Shabbat)",4,"Deuteronomy 16:1-16:3",3
03-Oct-2026,"Shmini Atzeret (on Shabbat)",5,"Deuteronomy 16:4-16:8",5
03-Oct-2026,"Shmini Atzeret (on Shabbat)",6,"Deuteronomy 16:9-16:12",4
03-Oct-2026,"Shmini Atzeret (on Shabbat)",7,"Deuteronomy 16:13-16:17",5
03-Oct-2026,"Shmini Atzeret (on Shabbat)","maf","Numbers 29:35-30:1",6
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Haftara","I Kings 8:54-66",13
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 1","Ecclesiastes 1:1-1:18",18
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 2","Ecclesiastes 2:1-2:26",26
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 3","Ecclesiastes 3:1-3:22",22
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 4","Ecclesiastes 4:1-4:17",17
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 5","Ecclesiastes 5:1-5:19",19
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 6","Ecclesiastes 6:1-6:12",12
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 7","Ecclesiastes 7:1-7:29",29
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 8","Ecclesiastes 8:1-8:17",17
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 9","Ecclesiastes 9:1-9:18",18
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 10","Ecclesiastes 10:1-10:20",20
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 11","Ecclesiastes 11:1-11:10",10
03-Oct-2026,"Shmini Atzeret (on Shabbat)","Megillah Ch. 12","Ecclesiastes 12:1-12:14",14

03-Oct-2026,"Erev Simchat Torah",1,"Deuteronomy 33:1-33:7",7
03-Oct-2026,"Erev Simchat Torah",2,"Deuteronomy 33:8-33:12",5
03-Oct-2026,"Erev Simchat Torah",3,"Deuteronomy 33:13-33:17",5

04-Oct-2026,"Simchat Torah",1,"Deuteronomy 33:1-33:7",7
04-Oct-2026,"Simchat Torah",2,"Deuteronomy 33:8-33:12",5
04-Oct-2026,"Simchat Torah",3,"Deuteronomy 33:13-33:17",5
04-Oct-2026,"Simchat Torah",4,"Deuteronomy 33:18-33:21",4
04-Oct-2026,"Simchat Torah",5,"Deuteronomy 33:22-33:26",5
04-Oct-2026,"Simchat Torah",6,"Deuteronomy 33:27-34:12",15
04-Oct-2026,"Simchat Torah",7,"Genesis 1:1-2:3",34
04-Oct-2026,"Simchat Torah","maf","Numbers 29:35-30:1",6
04-Oct-2026,"Simchat Torah","Haftara","Joshua 1:1-18",18

10-Oct-2026,"Bereshit",1,"Genesis 1:1-2:3",34
10-Oct-2026,"Bereshit",2,"Genesis 2:4-2:19",16
10-Oct-2026,"Bereshit",3,"Genesis 2:20-3:21",27
10-Oct-2026,"Bereshit",4,"Genesis 3:22-4:18",21
10-Oct-2026,"Bereshit",5,"Genesis 4:19-4:22 | some sources use 4:19-26",4
10-Oct-2026,"Bereshit",6,"Genesis 4:23-5:24 | some sources use 5:1-24",28
10-Oct-2026,"Bereshit",7,"Genesis 5:25-6:8",16
10-Oct-2026,"Bereshit","maf","Genesis 6:5-6:8",4
10-Oct-2026,"Bereshit","Haftara","I Samuel 20:18-42 | Shabbat Machar Chodesh",25

11-Oct-2026,"Rosh Chodesh Cheshvan",1,"Numbers 28:1-28:3",3
11-Oct-2026,"Rosh Chodesh Cheshvan",2,"Numbers 28:3-28:5",3
11-Oct-2026,"Rosh Chodesh Cheshvan",3,"Numbers 28:6-28:10",5
11-Oct-2026,"Rosh Chodesh Cheshvan",4,"Numbers 28:11-28:15",5

12-Oct-2026,"Rosh Chodesh Cheshvan",1,"Numbers 28:1-28:3",3
12-Oct-2026,"Rosh Chodesh Cheshvan",2,"Numbers 28:3-28:5",3
12-Oct-2026,"Rosh Chodesh Cheshvan",3,"Numbers 28:6-28:10",5
12-Oct-2026,"Rosh Chodesh Cheshvan",4,"Numbers 28:11-28:15",5

17-Oct-2026,"Noach",1,"Genesis 6:9-6:22",14
17-Oct-2026,"Noach",2,"Genesis 7:1-7:16",16
17-Oct-2026,"Noach",3,"Genesis 7:17-8:14",22
17-Oct-2026,"Noach",4,"Genesis 8:15-9:7",15
17-Oct-2026,"Noach",5,"Genesis 9:8-9:17",10
17-Oct-2026,"Noach",6,"Genesis 9:18-10:32",44
17-Oct-2026,"Noach",7,"Genesis 11:1-11:32",32
17-Oct-2026,"Noach","maf","Genesis 11:29-11:32",4
17-Oct-2026,"Noach","Haftara for Ashkenazim","Isaiah 54:1-55:5",22
17-Oct-2026,"Noach","Haftara for Sephardim","Isaiah 54:1-10",10

24-Oct-2026,"Lech-Lecha",1,"Genesis 12:1-12:13",13
24-Oct-2026,"Lech-Lecha",2,"Genesis 12:14-13:4",11
24-Oct-2026,"Lech-Lecha",3,"Genesis 13:5-13:18",14
24-Oct-2026,"Lech-Lecha",4,"Genesis 14:1-14:20",20
24-Oct-2026,"Lech-Lecha",5,"Genesis 14:21-15:6",10
24-Oct-2026,"Lech-Lecha",6,"Genesis 15:7-17:6",37
24-Oct-2026,"Lech-Lecha",7,"Genesis 17:7-17:27",21
24-Oct-2026,"Lech-Lecha","maf","Genesis 17:24-17:27",4
24-Oct-2026,"Lech-Lecha","Haftara","Isaiah 40:27-41:16",21

31-Oct-2026,"Vayera",1,"Genesis 18:1-18:14",14
31-Oct-2026,"Vayera",2,"Genesis 18:15-18:33",19
31-Oct-2026,"Vayera",3,"Genesis 19:1-19:20",20
31-Oct-2026,"Vayera",4,"Genesis 19:21-21:4",40
31-Oct-2026,"Vayera",5,"Genesis 21:5-21:21",17
31-Oct-2026,"Vayera",6,"Genesis 21:22-21:34",13
31-Oct-2026,"Vayera",7,"Genesis 22:1-22:24",24
31-Oct-2026,"Vayera","maf","Genesis 22:20-22:24",5
31-Oct-2026,"Vayera","Haftara for Ashkenazim","II Kings 4:1-37",37
31-Oct-2026,"Vayera","Haftara for Sephardim","II Kings 4:1-23",23

07-Nov-2026,"Chayei Sara",1,"Genesis 23:1-23:16",16
07-Nov-2026,"Chayei Sara",2,"Genesis 23:17-24:9",13
07-Nov-2026,"Chayei Sara",3,"Genesis 24:10-24:26",17
07-Nov-2026,"Chayei Sara",4,"Genesis 24:27-24:52",26
07-Nov-2026,"Chayei Sara",5,"Genesis 24:53-24:67",15
07-Nov-2026,"Chayei Sara",6,"Genesis 25:1-25:11",11
07-Nov-2026,"Chayei Sara",7,"Genesis 25:12-25:18",7
07-Nov-2026,"Chayei Sara","maf","Genesis 25:16-25:18",3
07-Nov-2026,"Chayei Sara","Haftara","I Kings 1:1-31",31

10-Nov-2026,"Rosh Chodesh Kislev",1,"Numbers 28:1-28:3",3
10-Nov-2026,"Rosh Chodesh Kislev",2,"Numbers 28:3-28:5",3
10-Nov-2026,"Rosh Chodesh Kislev",3,"Numbers 28:6-28:10",5
10-Nov-2026,"Rosh Chodesh Kislev",4,"Numbers 28:11-28:15",5

11-Nov-2026,"Rosh Chodesh Kislev",1,"Numbers 28:1-28:3",3
11-Nov-2026,"Rosh Chodesh Kislev",2,"Numbers 28:3-28:5",3
11-Nov-2026,"Rosh Chodesh Kislev",3,"Numbers 28:6-28:10",5
11-Nov-2026,"Rosh Chodesh Kislev",4,"Numbers 28:11-28:15",5

14-Nov-2026,"Toldot",1,"Genesis 25:19-26:5",21
14-Nov-2026,"Toldot",2,"Genesis 26:6-26:12",7
14-Nov-2026,"Toldot",3,"Genesis 26:13-26:22",10
14-Nov-2026,"Toldot",4,"Genesis 26:23-26:29",7
14-Nov-2026,"Toldot",5,"Genesis 26:30-27:27",33
14-Nov-2026,"Toldot",6,"Genesis 27:28-28:4",23
14-Nov-2026,"Toldot",7,"Genesis 28:5-28:9",5
14-Nov-2026,"Toldot","maf","Genesis 28:7-28:9",3
14-Nov-2026,"Toldot","Haftara","Malachi 1:1-2:7",21

21-Nov-2026,"Vayetzei",1,"Genesis 28:10-28:22",13
21-Nov-2026,"Vayetzei",2,"Genesis 29:1-29:17",17
21-Nov-2026,"Vayetzei",3,"Genesis 29:18-30:13",31
21-Nov-2026,"Vayetzei",4,"Genesis 30:14-30:27",14
21-Nov-2026,"Vayetzei",5,"Genesis 30:28-31:16",32
21-Nov-2026,"Vayetzei",6,"Genesis 31:17-31:42",26
21-Nov-2026,"Vayetzei",7,"Genesis 31:43-32:3",15
21-Nov-2026,"Vayetzei","maf","Genesis 32:1-32:3",3
21-Nov-2026,"Vayetzei","Haftara for Ashkenazim","Hosea 12:13-14:10",28
21-Nov-2026,"Vayetzei","Haftara for Sephardim","Hosea 11:7-12:12",17

28-Nov-2026,"Vayishlach",1,"Genesis 32:4-32:13",10
28-Nov-2026,"Vayishlach",2,"Genesis 32:14-32:30",17
28-Nov-2026,"Vayishlach",3,"Genesis 32:31-33:5",8
28-Nov-2026,"Vayishlach",4,"Genesis 33:6-33:20",15
28-Nov-2026,"Vayishlach",5,"Genesis 34:1-35:11",42
28-Nov-2026,"Vayishlach",6,"Genesis 35:12-36:19",37
28-Nov-2026,"Vayishlach",7,"Genesis 36:20-36:43",24
28-Nov-2026,"Vayishlach","maf","Genesis 36:40-36:43",4
28-Nov-2026,"Vayishlach","Haftara","Obadiah 1:1-21",21

05-Dec-2026,"Vayeshev",1,"Genesis 37:1-37:11",11
05-Dec-2026,"Vayeshev",2,"Genesis 37:12-37:22",11
05-Dec-2026,"Vayeshev",3,"Genesis 37:23-37:36",14
05-Dec-2026,"Vayeshev",4,"Genesis 38:1-38:30",30
05-Dec-2026,"Vayeshev",5,"Genesis 39:1-39:6",6
05-Dec-2026,"Vayeshev",6,"Genesis 39:7-39:23",17
05-Dec-2026,"Vayeshev",7,"Genesis 40:1-40:23",23
05-Dec-2026,"Vayeshev","maf","Numbers 7:1-7:17 | Chanukah Day 1 (on Shabbat)",17
05-Dec-2026,"Vayeshev","Haftara","Zechariah 2:14-4:7 | Chanukah Day 1 (on Shabbat)",21

06-Dec-2026,"Chanukah Day 2",1,"Numbers 7:18-7:20",3
06-Dec-2026,"Chanukah Day 2",2,"Numbers 7:21-7:23",3
06-Dec-2026,"Chanukah Day 2",3,"Numbers 7:24-7:29",6

07-Dec-2026,"Chanukah Day 3",1,"Numbers 7:24-7:26",3
07-Dec-2026,"Chanukah Day 3",2,"Numbers 7:27-7:29",3
07-Dec-2026,"Chanukah Day 3",3,"Numbers 7:30-7:35",6

08-Dec-2026,"Chanukah Day 4",1,"Numbers 7:30-7:32",3
08-Dec-2026,"Chanukah Day 4",2,"Numbers 7:33-7:35",3
08-Dec-2026,"Chanukah Day 4",3,"Numbers 7:36-7:41",6

09-Dec-2026,"Chanukah Day 5",1,"Numbers 7:36-7:38",3
09-Dec-2026,"Chanukah Day 5",2,"Numbers 7:39-7:41",3
09-Dec-2026,"Chanukah Day 5",3,"Numbers 7:42-7:47",6

10-Dec-2026,"Chanukah Day 6",1,"Numbers 28:1-28:5",5
10-Dec-2026,"Chanukah Day 6",2,"Numbers 28:6-28:10",5
10-Dec-2026,"Chanukah Day 6",3,"Numbers 28:11-28:15",5
10-Dec-2026,"Chanukah Day 6",4,"Numbers 7:42-7:47",6

11-Dec-2026,"Chanukah Day 7 (on Rosh Chodesh)",1,"Numbers 28:1-28:5",5
11-Dec-2026,"Chanukah Day 7 (on Rosh Chodesh)",2,"Numbers 28:6-28:10",5
11-Dec-2026,"Chanukah Day 7 (on Rosh Chodesh)",3,"Numbers 28:11-28:15",5
11-Dec-2026,"Chanukah Day 7 (on Rosh Chodesh)",4,"Numbers 7:48-7:53",6

12-Dec-2026,"Miketz",1,"Genesis 41:1-41:14",14
12-Dec-2026,"Miketz",2,"Genesis 41:15-41:38",24
12-Dec-2026,"Miketz",3,"Genesis 41:39-41:52",14
12-Dec-2026,"Miketz",4,"Genesis 41:53-42:18",23
12-Dec-2026,"Miketz",5,"Genesis 42:19-43:15",35
12-Dec-2026,"Miketz",6,"Genesis 43:16-43:29",14
12-Dec-2026,"Miketz",7,"Genesis 43:30-44:17",22
12-Dec-2026,"Miketz","maf","Numbers 7:54-8:4 | Chanukah Day 8 (on Shabbat)",40
12-Dec-2026,"Miketz","Haftara","I Kings 7:40-50 | Chanukah Day 8 (on Shabbat)",11

19-Dec-2026,"Vayigash",1,"Genesis 44:18-44:30",13
19-Dec-2026,"Vayigash",2,"Genesis 44:31-45:7",11
19-Dec-2026,"Vayigash",3,"Genesis 45:8-45:18",11
19-Dec-2026,"Vayigash",4,"Genesis 45:19-45:27",9
19-Dec-2026,"Vayigash",5,"Genesis 45:28-46:27",28
19-Dec-2026,"Vayigash",6,"Genesis 46:28-47:10",17
19-Dec-2026,"Vayigash",7,"Genesis 47:11-47:27",17
19-Dec-2026,"Vayigash","maf","Genesis 47:25-47:27",3
19-Dec-2026,"Vayigash","Haftara","Ezekiel 37:15-28",14

20-Dec-2026,"Asara B'Tevet",1,"Exodus 32:11-32:14",4
20-Dec-2026,"Asara B'Tevet",2,"Exodus 34:1-34:3",3
20-Dec-2026,"Asara B'Tevet",3,"Exodus 34:4-34:10",7

20-Dec-2026,"Asara B'Tevet (Mincha)",1,"Exodus 32:11-32:14",4
20-Dec-2026,"Asara B'Tevet (Mincha)",2,"Exodus 34:1-34:3",3
20-Dec-2026,"Asara B'Tevet (Mincha)","maf","Exodus 34:4-34:10",7
20-Dec-2026,"Asara B'Tevet (Mincha)","Haftara","Isaiah 55:6-56:8",16

26-Dec-2026,"Vayechi",1,"Genesis 47:28-48:9",13
26-Dec-2026,"Vayechi",2,"Genesis 48:10-48:16",7
26-Dec-2026,"Vayechi",3,"Genesis 48:17-48:22",6
26-Dec-2026,"Vayechi",4,"Genesis 49:1-49:18",18
26-Dec-2026,"Vayechi",5,"Genesis 49:19-49:26",8
26-Dec-2026,"Vayechi",6,"Genesis 49:27-50:20",27
26-Dec-2026,"Vayechi",7,"Genesis 50:21-50:26",6
26-Dec-2026,"Vayechi","maf","Genesis 50:23-50:26",4
26-Dec-2026,"Vayechi","Haftara","I Kings 2:1-12",12

02-Jan-2027,"Shemot",1,"Exodus 1:1-1:17",17
02-Jan-2027,"Shemot",2,"Exodus 1:18-2:10",15
02-Jan-2027,"Shemot",3,"Exodus 2:11-2:25",15
02-Jan-2027,"Shemot",4,"Exodus 3:1-3:15",15
02-Jan-2027,"Shemot",5,"Exodus 3:16-4:17",24
02-Jan-2027,"Shemot",6,"Exodus 4:18-4:31",14
02-Jan-2027,"Shemot",7,"Exodus 5:1-6:1",24
02-Jan-2027,"Shemot","maf","Exodus 5:22-6:1",3
02-Jan-2027,"Shemot","Haftara for Ashkenazim","Isaiah 27:6-28:13; 29:22-23",23
02-Jan-2027,"Shemot","Haftara for Sephardim","Jeremiah 1:1-2:3",22

09-Jan-2027,"Vaera",1,"Exodus 6:2-6:13",12
09-Jan-2027,"Vaera",2,"Exodus 6:14-6:28",15
09-Jan-2027,"Vaera",3,"Exodus 6:29-7:7",9
09-Jan-2027,"Vaera",4,"Exodus 7:8-8:6",28
09-Jan-2027,"Vaera",5,"Exodus 8:7-8:18",12
09-Jan-2027,"Vaera",6,"Exodus 8:19-9:16",26
09-Jan-2027,"Vaera",7,"Exodus 9:17-9:35",19
09-Jan-2027,"Vaera","maf","Numbers 28:9-28:15 | Shabbat Rosh Chodesh",7
09-Jan-2027,"Vaera","Haftara","Isaiah 66:1-24 | Shabbat Rosh Chodesh",24

16-Jan-2027,"Bo",1,"Exodus 10:1-10:11",11
16-Jan-2027,"Bo",2,"Exodus 10:12-10:23",12
16-Jan-2027,"Bo",3,"Exodus 10:24-11:3",9
16-Jan-2027,"Bo",4,"Exodus 11:4-12:20",27
16-Jan-2027,"Bo",5,"Exodus 12:21-12:28",8
16-Jan-2027,"Bo",6,"Exodus 12:29-12:51",23
16-Jan-2027,"Bo",7,"Exodus 13:1-13:16",16
16-Jan-2027,"Bo","maf","Exodus 13:14-13:16",3
16-Jan-2027,"Bo","Haftara","Jeremiah 46:13-28",16

23-Jan-2027,"Beshalach",1,"Exodus 13:17-14:8",14
23-Jan-2027,"Beshalach",2,"Exodus 14:9-14:14",6
23-Jan-2027,"Beshalach",3,"Exodus 14:15-14:25",11
23-Jan-2027,"Beshalach",4,"Exodus 14:26-15:26",32
23-Jan-2027,"Beshalach",5,"Exodus 15:27-16:10",11
23-Jan-2027,"Beshalach",6,"Exodus 16:11-16:36",26
23-Jan-2027,"Beshalach",7,"Exodus 17:1-17:16",16
23-Jan-2027,"Beshalach","maf","Exodus 17:14-17:16",3
23-Jan-2027,"Beshalach","Haftara for Ashkenazim","Judges 4:4-5:31",52
23-Jan-2027,"Beshalach","Haftara for Sephardim","Judges 5:1-31",31

30-Jan-2027,"Yitro",1,"Exodus 18:1-18:12",12
30-Jan-2027,"Yitro",2,"Exodus 18:13-18:23",11
30-Jan-2027,"Yitro",3,"Exodus 18:24-18:27",4
30-Jan-2027,"Yitro",4,"Exodus 19:1-19:6",6
30-Jan-2027,"Yitro",5,"Exodus 19:7-19:19",13
30-Jan-2027,"Yitro",6,"Exodus 19:20-20:14",20
30-Jan-2027,"Yitro",7,"Exodus 20:15-20:23",9
30-Jan-2027,"Yitro","maf","Exodus 20:19-20:23",5
30-Jan-2027,"Yitro","Haftara for Ashkenazim","Isaiah 6:1-7:6; 9:5-6",21
30-Jan-2027,"Yitro","Haftara for Sephardim","Isaiah 6:1-13",13

06-Feb-2027,"Mishpatim",1,"Exodus 21:1-21:19",19
06-Feb-2027,"Mishpatim",2,"Exodus 21:20-22:3",21
06-Feb-2027,"Mishpatim",3,"Exodus 22:4-22:26",23
06-Feb-2027,"Mishpatim",4,"Exodus 22:27-23:5",9
06-Feb-2027,"Mishpatim",5,"Exodus 23:6-23:19",14
06-Feb-2027,"Mishpatim",6,"Exodus 23:20-23:25",6
06-Feb-2027,"Mishpatim",7,"Exodus 23:26-24:18",26
06-Feb-2027,"Mishpatim","maf","Exodus 24:15-24:18",4
06-Feb-2027,"Mishpatim","Haftara","I Samuel 20:18-42 | Shabbat Machar Chodesh",25

07-Feb-2027,"Rosh Chodesh Adar I",1,"Numbers 28:1-28:3",3
07-Feb-2027,"Rosh Chodesh Adar I",2,"Numbers 28:3-28:5",3
07-Feb-2027,"Rosh Chodesh Adar I",3,"Numbers 28:6-28:10",5
07-Feb-2027,"Rosh Chodesh Adar I",4,"Numbers 28:11-28:15",5

08-Feb-2027,"Rosh Chodesh Adar I",1,"Numbers 28:1-28:3",3
08-Feb-2027,"Rosh Chodesh Adar I",2,"Numbers 28:3-28:5",3
08-Feb-2027,"Rosh Chodesh Adar I",3,"Numbers 28:6-28:10",5
08-Feb-2027,"Rosh Chodesh Adar I",4,"Numbers 28:11-28:15",5

13-Feb-2027,"Terumah",1,"Exodus 25:1-25:16",16
13-Feb-2027,"Terumah",2,"Exodus 25:17-25:40 | some sources use 25:17-30",24
13-Feb-2027,"Terumah",3,"Exodus 26:1-26:14 | some sources use 25:31-26:14",14
13-Feb-2027,"Terumah",4,"Exodus 26:15-26:30",16
13-Feb-2027,"Terumah",5,"Exodus 26:31-26:37",7
13-Feb-2027,"Terumah",6,"Exodus 27:1-27:8",8
13-Feb-2027,"Terumah",7,"Exodus 27:9-27:19",11
13-Feb-2027,"Terumah","maf","Exodus 27:17-27:19",3
13-Feb-2027,"Terumah","Haftara","I Kings 5:26-6:13",20

20-Feb-2027,"Tetzaveh",1,"Exodus 27:20-28:12",14
20-Feb-2027,"Tetzaveh",2,"Exodus 28:13-28:30",18
20-Feb-2027,"Tetzaveh",3,"Exodus 28:31-28:43",13
20-Feb-2027,"Tetzaveh",4,"Exodus 29:1-29:18",18
20-Feb-2027,"Tetzaveh",5,"Exodus 29:19-29:37",19
20-Feb-2027,"Tetzaveh",6,"Exodus 29:38-29:46",9
20-Feb-2027,"Tetzaveh",7,"Exodus 30:1-30:10",10
20-Feb-2027,"Tetzaveh","maf","Exodus 30:8-30:10",3
20-Feb-2027,"Tetzaveh","Haftara","Ezekiel 43:10-27",18

